year,country,coarse_regime,regime_label
1940,Afghanistan,1,peg
1940,Albania,6,dual_market
1940,Algeria,1,peg
1940,Angola,1,peg
1940,Anguilla,1,peg
1940,Antigua and Barbuda,1,peg
1940,Argentina,3,managed_float
1940,Armenia,1,peg
1940,Aruba,1,peg
1940,Australia,1,peg
1940,Austria,1,peg
1940,Azerbaijan Rep. of,1,peg
1940,Bahrain Kingdom of,1,peg
1940,Bangladesh,1,peg
1940,Barbados,1,peg
1940,Belarus,1,peg
1940,Belgium,1,peg
1940,Belize,1,peg
1940,Benin,1,peg
1940,Bermuda,1,peg
1940,Bhutan,1,peg
1940,Bolivia,1,peg
1940,Bosnia & Herzegovina,6,dual_market
1940,Botswana,1,peg
1940,Brazil,6,dual_market
1940,Brunei Darussalam,1,peg
1940,Bulgaria,6,dual_market
1940,Burkina Faso,1,peg
1940,Burundi,1,peg
1940,Cabo Verde,1,peg
1940,Cambodia,1,peg
1940,Cameroon,1,peg
1940,Canada,6,dual_market
1940,Central African Rep.,1,peg
1940,Chad,1,peg
1940,Chile,3,managed_float
1940,"China, PR",5,freely_falling
1940,Colombia,3,managed_float
1940,Comoros,1,peg
1940,Congo Dem. Rep. of,1,peg
1940,Congo Rep. of,1,peg
1940,Costa Rica,1,peg
1940,"Cote D""Ivoire",1,peg
1940,Croatia,6,dual_market
1940,Curacao,1,peg
1940,Cyprus,1,peg
1940,Czech Rep.,6,dual_market
1940,Denmark,1,peg
1940,Djibouti,1,peg
1940,Dominica,1,peg
1940,Dominican Republic,1,peg
1940,Ecuador,6,dual_market
1940,Egypt,1,peg
1940,El Salvador,1,peg
1940,Equatorial Guinea,1,peg
1940,Eritrea,1,peg
1940,Estonia,1,peg
1940,Ethiopia,1,peg
1940,Fiji,1,peg
1940,Finland,1,peg
1940,France,1,peg
1940,Gabon,1,peg
1940,Georgia,1,peg
1940,Germany,6,dual_market
1940,Ghana,1,peg
1940,Greece,1,peg
1940,Grenada,1,peg
1940,Guatemala,1,peg
1940,Guinea,1,peg
1940,Guinea Bissau,1,peg
1940,Guyana,1,peg
1940,Haiti,1,peg
1940,Honduras,6,dual_market
1940,Hong Kong,1,peg
1940,Hungary,6,dual_market
1940,Iceland,1,peg
1940,India,1,peg
1940,Indonesia,1,peg
1940,Iran,1,peg
1940,Iraq,1,peg
1940,Ireland,1,peg
1940,Israel,6,dual_market
1940,Italy,6,dual_market
1940,Jamaica,1,peg
1940,Japan,1,peg
1940,Jordan,1,peg
1940,Kazakhstan,1,peg
1940,Kenya,1,peg
1940,Kiribati,1,peg
1940,Korea,1,peg
1940,Kuwait,1,peg
1940,Kyrgyz Rep.,1,peg
1940,Lao Dem. Rep.,1,peg
1940,Latvia,1,peg
1940,Lebanon,1,peg
1940,Lesotho,1,peg
1940,Liberia,1,peg
1940,Libya,1,peg
1940,Liechtesntein,1,peg
1940,Lithuania,1,peg
1940,Luxembourg,1,peg
1940,Macao,1,peg
1940,Macedonia FYR,1,peg
1940,Madagascar,1,peg
1940,Malawi,1,peg
1940,Malaysia,1,peg
1940,Maldives,1,peg
1940,Mali,1,peg
1940,Malta,1,peg
1940,Marshall Islands,1,peg
1940,Mauritania,1,peg
1940,Mauritius,1,peg
1940,Mexico,1,peg
1940,Micronesia,1,peg
1940,Moldova,1,peg
1940,Monaco,1,peg
1940,Mongolia,1,peg
1940,Montenegro,1,peg
1940,Morocco,1,peg
1940,Mozambique,1,peg
1940,Myanmar,1,peg
1940,Namibia,1,peg
1940,Nepal,1,peg
1940,Netherlands,1,peg
1940,Netherlands Antilles,1,peg
1940,New Zealand,1,peg
1940,Nicaragua,1,peg
1940,Niger,1,peg
1940,Nigeria,1,peg
1940,Norway,1,peg
1940,Oman,1,peg
1940,PNG,1,peg
1940,Pakistan,1,peg
1940,Palau,1,peg
1940,Panama,1,peg
1940,Paraguay,1,peg
1940,Peru,1,peg
1940,Philippines,1,peg
1940,Poland,6,dual_market
1940,Portugal,1,peg
1940,Qatar,1,peg
1940,Romania,6,dual_market
1940,Russia,6,dual_market
1940,Rwanda,1,peg
1940,Samoa,1,peg
1940,San Marino,1,peg
1940,Sao Tome & Principe,1,peg
1940,Saudi Arabia,1,peg
1940,Senegal,1,peg
1940,"Serbia, Rep. of",6,dual_market
1940,Seychelles,1,peg
1940,Sierra Leone,1,peg
1940,Singapore,1,peg
1940,Slovak Republic,1,peg
1940,Slovenia,1,peg
1940,Solomon Islands,1,peg
1940,Somalia,1,peg
1940,South Africa,1,peg
1940,Spain,1,peg
1940,Sri Lanka,1,peg
1940,St Vincent & Grenadines,1,peg
1940,St. Kitts and Nevis,1,peg
1940,St. Lucia,1,peg
1940,Sudan,1,peg
1940,Suriname,1,peg
1940,Swaziland,1,peg
1940,Sweden,6,dual_market
1940,Switzerland,1,peg
1940,Syrian Arab Rep.,1,peg
1940,Tajikistan,1,peg
1940,Tanzania,1,peg
1940,Thailand,6,dual_market
1940,The Bahamas,1,peg
1940,The Gambia,1,peg
1940,Togo,1,peg
