"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Eggs"	""	"Andalusia"	"Dozen"	"Unit"	"New Castile vellon maravedis"	"Silver"	1557	46.9	4.4086	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Eggs"	""	"Andalusia"	"Dozen"	"Unit"	"New Castile vellon maravedis"	"Silver"	1562	45.4	4.2676	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Eggs"	""	"Andalusia"	"Dozen"	"Unit"	"New Castile vellon maravedis"	"Silver"	1584	63.1	5.9314	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Eggs"	""	"Andalusia"	"Dozen"	"Unit"	"New Castile vellon maravedis"	"Silver"	1585	69.6	6.5424	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Eggs"	""	"Andalusia"	"Dozen"	"Unit"	"New Castile vellon maravedis"	"Silver"	1587	49.1	4.6154	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Eggs"	""	"Andalusia"	"Dozen"	"Unit"	"New Castile vellon maravedis"	"Silver"	1588	61.3	5.7622	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Eggs"	""	"Andalusia"	"Dozen"	"Unit"	"New Castile vellon maravedis"	"Silver"	1589	71.3	6.7022	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Eggs"	""	"Andalusia"	"Dozen"	"Unit"	"New Castile vellon maravedis"	"Silver"	1591	69	6.486	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Eggs"	""	"Andalusia"	"Dozen"	"Unit"	"New Castile vellon maravedis"	"Silver"	1592	64.5	6.063	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Eggs"	""	"Andalusia"	"Dozen"	"Unit"	"New Castile vellon maravedis"	"Silver"	1593	66.8	6.2792	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Eggs"	""	"Andalusia"	"Dozen"	"Unit"	"New Castile vellon maravedis"	"Silver"	1594	67.5	6.345	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Eggs"	""	"Andalusia"	"Dozen"	"Unit"	"New Castile vellon maravedis"	"Silver"	1595	58.5	5.499	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Eggs"	""	"Andalusia"	"Dozen"	"Unit"	"New Castile vellon maravedis"	"Silver"	1596	65.4	6.1476	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Eggs"	""	"Andalusia"	"Dozen"	"Unit"	"New Castile vellon maravedis"	"Silver"	1598	73.6	6.9184	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
