"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Barley"	""	"Antwerp"	"Antwerp Viertel"	"Litre"	"Brabant groat"	"Silver"	1366	22.5	0.203448579	"(ECPdb)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Barley"	"Brewer"	"Antwerp"	"Antwerp Viertel"	"Litre"	"Brabant groat"	"Silver"	1366	22.5	16.2	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Barley"	""	"Antwerp"	"Antwerp Viertel"	"Litre"	"Brabant groat"	"Silver"	1367	24.37	0.220357416	"(ECPdb)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Barley"	"Brewer"	"Antwerp"	"Antwerp Viertel"	"Litre"	"Brabant groat"	"Silver"	1367	24.37	17.5464	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Barley"	""	"Antwerp"	"Antwerp Viertel"	"Litre"	"Brabant groat"	"Silver"	1368	20.62	0.18644932	"(ECPdb)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Barley"	"Brewer"	"Antwerp"	"Antwerp Viertel"	"Litre"	"Brabant groat"	"Silver"	1368	20.62	14.8464	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Barley"	""	"Antwerp"	"Antwerp Viertel"	"Litre"	"Brabant groat"	"Silver"	1369	24.37	0.220357416	"(ECPdb)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Barley"	"Brewer"	"Antwerp"	"Antwerp Viertel"	"Litre"	"Brabant groat"	"Silver"	1369	24.37	17.5464	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Barley"	""	"Antwerp"	"Antwerp Viertel"	"Litre"	"Brabant groat"	"Silver"	1370	25.79	0.152226004	"(ECPdb)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Barley"	"Brewer"	"Antwerp"	"Antwerp Viertel"	"Litre"	"Brabant groat"	"Silver"	1370	25.79	12.1213	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
