"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1488	57	11.02	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1489	103.5	16.56	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1490	36	17.64	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1491	42	20.58	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1492	48	18.72	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1493	34.5	13.11	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1494	36	13.68	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1495	30	9.9	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1496	30	9.9	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1497	33	10.89	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1498	36	11.88	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1499	31.5	10.395	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1500	33	10.89	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1501	33	10.89	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1502	39	12.87	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1503	30	9.9	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1504	33	10.89	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1506	36	11.88	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1507	33	10.89	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1508	31.5	10.395	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1509	30.75	10.1475	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1510	39	12.87	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1511	36	11.88	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1512	42	13.86	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1513	45	14.85	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1514	36	11.88	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1515	36	11.88	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
"Lime"	""	"Antwerp"	"Antwerp Vaert"	"Litre"	"Brabant groat"	"Silver"	1516	44	14.52	"(www.iisg.nl/hpw)"	"(Herman van der Wee) (The Growth of the Antwerp Market and the European Economy) (The Hague: Nijhoff-1963)"
