"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1861	2.223465204	0.740792418	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1862	1.90567599	0.841145034	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1863	2.500008689	1.321510104	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1864	2.105270475	0.709933698	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1865	3.63968508	1.245090009	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1866	4.444459892	1.432182791	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1867	4.000013903	1.282777036	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1868	2.500008689	0.806872005	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1869	3.076933771	0.994508027	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1870	4.444459892	1.371974783	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1871	2.699064712	0.921275034	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1872	3.355716361	1.071622941	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1873	3.386971975	1.048755343	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1874	3.581033037	1.153498642	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1875	2.482938487	0.761962805	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1876	2.253528959	0.746120084	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1877	2.844960102	0.89049799	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1878	4.400455339	1.343770547	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1879	4.550641528	1.420929619	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1880	2.768175711	0.847866668	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1881	2.758630278	0.873860413	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1882	2.791356527	0.858197822	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1883	2.8070273	0.883288083	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1884	2.52685654	0.772115597	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1885	2.594042739	0.798695597	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1886	2.487570835	0.780087063	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1887	2.673806085	0.826207695	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1888	2.962973261	0.938767391	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1897	4.024	1.809512502	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1898	3.06	1.506468338	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1899	2.69	1.30633727	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1900	3.428	1.600125747	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1901	3.781	1.840911083	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1902	2.815	1.558751337	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1903	3.065	1.67835319	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1904	3.273	1.645415262	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1905	3.077	1.473946843	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1906	3.509	1.535779678	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1907	3.711	1.65397144	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1908	5.618	3.059624324	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1909	5.236	2.95447884	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1910	4.878	2.617528837	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1911	3.347	1.826271022	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Balasore"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1912	4.228	2.013206927	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
