"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wheat"	"British Imperial"	"Benares"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1861	1.677858181	0.559012399	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Benares"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1862	1.641368036	0.724482325	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Benares"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1863	2.196602912	1.161129141	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Benares"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1864	3.319513612	1.119397532	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Benares"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1865	3.555567914	1.216314595	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Benares"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1866	2.816911199	0.907721487	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Benares"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1867	1.866548718	0.598589377	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Benares"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1868	3.8277645	1.235402113	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Benares"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1869	4.149392015	1.34114153	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
"Wheat"	"British Imperial"	"Benares"	"British India Maund"	"Kilogram"	"British Rupee"	"Silver"	1870	2.046042917	0.631599644	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2007)"	"(Government of India) (Calcutta: Office of the Superintendent of Government Printing-various years)"
