"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wheat"	""	"Beziers"	"Beziers Setier"	"Litre"	"Silver"	"Silver"	1587	49.16	0.744848485	"(ECPdb)"	"(Emmanuel Le Roy Ladurie) (Les paysans de languedoc Vol II Annexes Sources Graphiques) (Paris: SEVPEN 1966) (p821-2)"
"Wheat"	""	"Beziers"	"Beziers Setier"	"Litre"	"Silver"	"Silver"	1588	47.98	0.726969697	"(ECPdb)"	"(Emmanuel Le Roy Ladurie) (Les paysans de languedoc Vol II Annexes Sources Graphiques) (Paris: SEVPEN 1966) (p821-2)"
"Wheat"	""	"Beziers"	"Beziers Setier"	"Litre"	"Silver"	"Silver"	1589	80.87	1.22530303	"(ECPdb)"	"(Emmanuel Le Roy Ladurie) (Les paysans de languedoc Vol II Annexes Sources Graphiques) (Paris: SEVPEN 1966) (p821-2)"
"Wheat"	""	"Beziers"	"Beziers Setier"	"Litre"	"Silver"	"Silver"	1590	61.54	0.932424242	"(ECPdb)"	"(Emmanuel Le Roy Ladurie) (Les paysans de languedoc Vol II Annexes Sources Graphiques) (Paris: SEVPEN 1966) (p821-2)"
"Wheat"	""	"Beziers"	"Beziers Setier"	"Litre"	"Silver"	"Silver"	1591	63.78	0.966363636	"(ECPdb)"	"(Emmanuel Le Roy Ladurie) (Les paysans de languedoc Vol II Annexes Sources Graphiques) (Paris: SEVPEN 1966) (p821-2)"
"Wheat"	""	"Beziers"	"Beziers Setier"	"Litre"	"Silver"	"Silver"	1592	100.21	1.518333333	"(ECPdb)"	"(Emmanuel Le Roy Ladurie) (Les paysans de languedoc Vol II Annexes Sources Graphiques) (Paris: SEVPEN 1966) (p821-2)"
"Wheat"	""	"Beziers"	"Beziers Setier"	"Litre"	"Silver"	"Silver"	1593	52.7	0.798484848	"(ECPdb)"	"(Emmanuel Le Roy Ladurie) (Les paysans de languedoc Vol II Annexes Sources Graphiques) (Paris: SEVPEN 1966) (p821-2)"
"Wheat"	""	"Beziers"	"Beziers Setier"	"Litre"	"Silver"	"Silver"	1594	43.51	0.659242424	"(ECPdb)"	"(Emmanuel Le Roy Ladurie) (Les paysans de languedoc Vol II Annexes Sources Graphiques) (Paris: SEVPEN 1966) (p821-2)"
"Wheat"	""	"Beziers"	"Beziers Setier"	"Litre"	"Silver"	"Silver"	1595	47.99	0.727121212	"(ECPdb)"	"(Emmanuel Le Roy Ladurie) (Les paysans de languedoc Vol II Annexes Sources Graphiques) (Paris: SEVPEN 1966) (p821-2)"
"Wheat"	""	"Beziers"	"Beziers Setier"	"Litre"	"Silver"	"Silver"	1596	79.11	1.198636364	"(ECPdb)"	"(Emmanuel Le Roy Ladurie) (Les paysans de languedoc Vol II Annexes Sources Graphiques) (Paris: SEVPEN 1966) (p821-2)"
"Wheat"	""	"Beziers"	"Beziers Setier"	"Litre"	"Silver"	"Silver"	1597	67.67	1.02530303	"(ECPdb)"	"(Emmanuel Le Roy Ladurie) (Les paysans de languedoc Vol II Annexes Sources Graphiques) (Paris: SEVPEN 1966) (p821-2)"
"Wheat"	""	"Beziers"	"Beziers Setier"	"Litre"	"Silver"	"Silver"	1598	54.12	0.82	"(ECPdb)"	"(Emmanuel Le Roy Ladurie) (Les paysans de languedoc Vol II Annexes Sources Graphiques) (Paris: SEVPEN 1966) (p821-2)"
