"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1733	0.009	1.841693685	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1734	0.009	1.841693685	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1735	0.012	2.45559158	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1736	0.008	1.600907232	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1740	0.005	0.993844739	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1741	0.005	0.991117041	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1742	0.009	1.822707152	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1745	0.007	1.346689209	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1747	0.007	1.266514962	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1748	0.008	1.479383435	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1749	0.008	1.59285921	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1751	0.01	1.905627487	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1755	0.008	1.525804477	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1757	0.015	2.69785935	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1767	0.01	1.956646677	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1768	0.015	2.946238498	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1769	0.011	2.219515808	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1771	0.021	4.235517304	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1772	0.017	3.385923989	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1773	0.015	2.826851397	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1774	0.012	2.248024028	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1775	0.01	1.998853545	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1776	0.01	1.866944104	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1778	0.035	6.419607507	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1781	0.01	1.841739728	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1785	0.022	4.051827403	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1786	0.017	3.21115822	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1787	0.017	2.981789776	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1788	0.016	3.143157222	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Pork"	""	"Chesapeake"	"England British Pound"	"Kilogram"	"Virginia Pound"	"Silver"	1793	0.019	3.765249746	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
