"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wine"	""	"Chesapeake"	"Washington US Gallon"	"Litre"	"Virginia Pound"	"Silver"	1754	0.35	8.11228441	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Wine"	""	"Chesapeake"	"Washington US Gallon"	"Litre"	"Virginia Pound"	"Silver"	1755	0.4	9.141565656	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Wine"	""	"Chesapeake"	"Washington US Gallon"	"Litre"	"Virginia Pound"	"Silver"	1756	0.3	6.913089777	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Wine"	""	"Chesapeake"	"Washington US Gallon"	"Litre"	"Virginia Pound"	"Silver"	1757	0.55	11.85338603	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Wine"	""	"Chesapeake"	"Washington US Gallon"	"Litre"	"Virginia Pound"	"Silver"	1759	0.375	7.921145312	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Wine"	""	"Chesapeake"	"Washington US Gallon"	"Litre"	"Virginia Pound"	"Silver"	1760	0.478	9.926508652	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Wine"	""	"Chesapeake"	"Washington US Gallon"	"Litre"	"Virginia Pound"	"Silver"	1762	0.383	7.373430212	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Wine"	""	"Chesapeake"	"Washington US Gallon"	"Litre"	"Virginia Pound"	"Silver"	1770	0.533	13.27398468	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Wine"	""	"Chesapeake"	"Washington US Gallon"	"Litre"	"Virginia Pound"	"Silver"	1771	0.531	12.83315324	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Wine"	""	"Chesapeake"	"Washington US Gallon"	"Litre"	"Virginia Pound"	"Silver"	1796	0.461	11.00392036	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Wine"	""	"Chesapeake"	"Washington US Gallon"	"Litre"	"Virginia Pound"	"Silver"	1798	0.667	15.97603337	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
"Wine"	""	"Chesapeake"	"Washington US Gallon"	"Litre"	"Virginia Pound"	"Silver"	1799	0.474	11.37281156	"(gpih.ucdavis.edu)"	"(Lois Carr-Lorena Walsh) (Provisioning Early American Towns - The Chesapeake: A Multidisciplinary Case Study) (Historical Statistics of the United States Millennial Edition)(Cambridge: Cambridge University Press-2006) (vol.5)"
