"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1676	5.87	0.134263495	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1678	5.87	0.134263495	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1679	6.29	0.143870082	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1680	9.22	0.210887466	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1681	7.12	0.162854529	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1682	5.87	0.134263495	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1683	6.29	0.143870082	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1684	7.12	0.162854529	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1685	7.54	0.172461116	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1686	6.83	0.156221409	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1687	5.8	0.132662397	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1688	4.97	0.113677951	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1689	3.8	0.0869	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1690	4.16	0.0952	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1691	6.05	0.138380604	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1692	9.45	0.216148216	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1693	6.98	0.159652333	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1694	5.24	0.119853614	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1695	5.41	0.123741995	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1696	5.58	0.127630375	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1697	5.93	0.135635865	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1698	8.29	0.189615737	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1699	6.98	0.159652333	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1700	7.06	0.161482159	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1701	5.96	0.136322049	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1702	6.8	0.155535224	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
"Oats"	""	"Coutances"	"Coutances Boisseau"	"Litre"	"Silver"	"Silver"	1703	5.47	0.125114364	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p171-3)"
