"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wheat"	""	"Danzig"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1703	231	0.376077674	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p292)"
"Wheat"	""	"Danzig"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1704	245	0.39887026	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p292)"
"Wheat"	""	"Danzig"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1705	213	0.34677292	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p292)"
"Wheat"	""	"Danzig"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1706	197	0.32072425	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p292)"
"Wheat"	""	"Danzig"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1707	199	0.323980334	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p292)"
"Wheat"	""	"Danzig"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1708	242	0.393986135	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p292)"
"Wheat"	""	"Danzig"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1709	513	0.835185484	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p292)"
"Wheat"	""	"Danzig"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1710	399	0.64958871	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p292)"
"Wheat"	""	"Danzig"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1711	309	0.503064941	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p292)"
"Wheat"	""	"Danzig"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1712	274	0.446083475	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p292)"
"Wheat"	""	"Danzig"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1713	308	0.501436899	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p292)"
"Wheat"	""	"Danzig"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1714	452	0.735874929	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p292)"
"Wheat"	""	"Danzig"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1715	331	0.538881862	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p292)"
"Wheat"	""	"Danzig"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1716	278	0.452595642	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p292)"
