"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Barley"	""	"Dresden"	"Dresden Scheffel"	"Litre"	"English Pence"	"Silver"	1750	43.5	0.18276083	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p444)"
"Barley"	""	"Dresden"	"Dresden Scheffel"	"Litre"	"English Pence"	"Silver"	1751	43.5	0.18276083	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p444)"
"Barley"	""	"Dresden"	"Dresden Scheffel"	"Litre"	"English Pence"	"Silver"	1752	49.5	0.207969221	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p444)"
"Barley"	""	"Dresden"	"Dresden Scheffel"	"Litre"	"English Pence"	"Silver"	1753	51	0.214271318	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p444)"
"Barley"	""	"Dresden"	"Dresden Scheffel"	"Litre"	"English Pence"	"Silver"	1754	55.5	0.233177611	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p444)"
"Barley"	""	"Dresden"	"Dresden Scheffel"	"Litre"	"English Pence"	"Silver"	1755	55.5	0.233177611	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p444)"
"Barley"	""	"Dresden"	"Dresden Scheffel"	"Litre"	"English Pence"	"Silver"	1756	97.5	0.409636344	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p444)"
"Barley"	""	"Dresden"	"Dresden Scheffel"	"Litre"	"English Pence"	"Silver"	1757	121.5	0.510469905	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p444)"
"Barley"	""	"Dresden"	"Dresden Scheffel"	"Litre"	"English Pence"	"Silver"	1758	82.5	0.346615368	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p444)"
"Barley"	""	"Dresden"	"Dresden Scheffel"	"Litre"	"English Pence"	"Silver"	1759	87	0.365521661	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p444)"
"Barley"	""	"Dresden"	"Dresden Scheffel"	"Litre"	"English Pence"	"Silver"	1760	123	0.516772003	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p444)"
"Barley"	""	"Dresden"	"Dresden Scheffel"	"Litre"	"English Pence"	"Silver"	1761	159	0.668022345	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p444)"
"Barley"	""	"Dresden"	"Dresden Scheffel"	"Litre"	"English Pence"	"Silver"	1762	312	1.3108363	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p444)"
