"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1818	0.4945	0.4945	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1819	0.4955	0.4955	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1820	0.5	0.5	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1821	0.5	0.5	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1822	0.4895	0.4895	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1823	0.501	0.501	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1824	0.489	0.489	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1825	0.4975	0.4975	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1826	0.495	0.495	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1827	0.5175	0.5175	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1828	0.5195	0.5195	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1829	0.5255	0.5255	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1830	0.5375	0.5375	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1831	0.571	0.571	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1832	0.58	0.58	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1833	0.5735	0.5735	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1834	0.573	0.573	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1835	0.5975	0.5975	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1836	0.6125	0.6125	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Charcoal"	""	"Edo"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1837	0.666	0.666	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
