"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1818	69.25	1.435602103	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1819	68.75	1.425236745	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1820	68.45	1.41901753	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1821	69.085	1.432181535	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1822	70.695	1.465557988	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1823	67.2	1.393104135	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1824	69.25	1.435602103	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1825	68.875	1.427828084	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1826	67.2	1.393104135	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1827	69.7	1.444930925	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1828	68.65	1.423163673	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1829	67.9	1.407615636	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1830	70.685	1.465350681	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1831	70.46	1.46068627	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1832	71.75	1.487428894	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1833	73.65	1.526817255	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1834	74.065	1.535420502	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1835	77.015	1.596576115	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1836	80.4	1.66674959	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1837	102.96	2.134434549	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1838	110.9	2.299036436	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
"Soya Sauce"	""	"Edo"	"Kyoto Kuku"	"Litre"	"Osaka Monme"	"Silver"	1839	106.015	2.197766887	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 7)"
