"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1657	17.66008878	96.77821155	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1658	17.66008878	96.77821155	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1659	17.66008878	96.77821155	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1660	20.71546076	113.5218101	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1661	20.71546076	113.5218101	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1662	20.71546076	113.5218101	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1663	20.71546076	113.5218101	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1664	20.71546076	113.5218101	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1665	20.71546076	113.5218101	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1666	20.71546076	113.5218101	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1667	20.71546076	113.5218101	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1668	20.71546076	113.5218101	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1669	20.71546076	113.5218101	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1670	23.79980107	130.4241565	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Rent"	"Housing"	"England"	"Annual Rent"	"Annual Rent"	"English Pence"	"Silver"	1671	23.79980107	130.4241565	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
