"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1272	11.22408594	46.84252658	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1305	11.89908492	49.43885372	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1306	11.89908492	49.43885372	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1323	8.924313447	37.07913927	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1328	12.18953626	50.645634	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1330	8.940979974	37.14838611	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1333	6.40962393	26.63099406	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1340	5.627554059	22.55461249	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1350	16.83612878	63.91508144	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1362	29.74771136	100.123688	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1369	9.939388503	33.4536066	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1371	8.940979974	30.09320207	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1374	9.189757053	30.93052627	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1375	17.8819603	60.18640531	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
"Vinegar"	""	"England"	"England British Gallon"	"Litre"	"English Pence"	"Silver"	1376	11.92130577	40.12426652	"(gpih.ucdavis.edu)"	"(Gregory Clark) (Long March of History-England) (Economic History Review-2006)-(Price History of English Agriculture) (Research in Economic History 22-2004)-(Condition of the Working-Class in England) (Journal of Political Economy 113:6-2005.12)"
