"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Rye"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1501	7.03	0.383524277	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Rye"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1502	6.26	0.341516639	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Rye"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1503	5.56	0.303327878	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Rye"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1504	5.05	0.275504637	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Rye"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1505	13.54	0.73867976	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Rye"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1506	4.09	0.223131478	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Rye"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1507	2.24	0.122204037	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Rye"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1508	5.24	0.285870158	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Rye"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1509	3.32	0.181123841	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Rye"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1510	2.49	0.135842881	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
