"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1501	8.35	0.45553737	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1502	7.75	0.422804146	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1503	7.71	0.420621931	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1504	6.52	0.355701037	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1505	15.59	0.850518276	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1506	5.62	0.3066012	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1507	4.13	0.225313693	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1508	6.72	0.366612111	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1509	4.82	0.262956901	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1510	3.42	0.186579378	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1511	3.44	0.187670486	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1512	6.09	0.332242226	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1513	5.53	0.301691217	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1514	3.42	0.186579378	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1515	3.92	0.213857065	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1516	5.78	0.31533006	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1517	5.72	0.312056738	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1518	4.06	0.221494817	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1519	5.37	0.292962357	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1520	7.02	0.382978723	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1521	6.72	0.366612111	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1522	5.54	0.30223677	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1523	5.2	0.283687943	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
"Wheat"	""	"Grenoble"	"Grenoble Boisseau"	"Litre"	"Silver"	"Silver"	1524	4.93	0.268957992	"(ECPdb)"	"(Henri Hauser) (Recherches et Documents sur l'histoire des prix en France de 1500 a 1800) (Paris: Les Presses Modernes-1936) (p365-89)"
