"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1810	0.933333333	0.14756	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1811	0.7	0.11158	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1812	0.766666667	0.12466	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1813	0.8	0.13216	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1814	0.783333333	0.120476667	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1815	0.85	0.13022	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1816	0.833333333	0.12925	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1817	0.8	0.12432	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1818	0.766666667	0.11914	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1819	0.633333333	0.09614	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1820	0.533333333	0.08256	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1824	0.866666667	0.133466667	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1825	0.55	0.086295	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1826	0.55	0.087505	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1827	0.7	0.11172	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1828	0.633333333	0.101776667	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1829	0.483333333	0.0766	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1830	0.583333333	0.0923	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1831	0.666666667	0.106066667	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1832	0.783333333	0.122513333	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1833	0.583333333	0.0904	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1834	0.55	0.0847	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1835	0.716666667	0.111083333	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1836	0.533333333	0.08368	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
"Eggs"	""	"Krakow"	"CentoUnits"	"Unit"	"Krakow Gold"	"Silver"	1837	0.516666667	0.0813	"(gpih.ucdavis.edu)"	"(M. Gorkiewicz) (Ceny w Krakowie w Latach 1796-1914) (Poznan: Nakladem Poznanskiego Towarzystwa Przyjaciol Nauk-1950)"
