"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1503	84	0.489522629	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1506	32	0.186484811	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1508	72	0.419590825	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1510	84.8	0.494184749	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1512	51.1	0.297792932	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1517	34	0.198140112	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1518	52	0.303037818	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1519	88	0.51283323	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1520	69.3	0.403856169	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1521	66.5	0.387538748	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1522	69.6	0.405604464	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1523	84	0.489522629	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1524	49.6	0.289051457	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1525	135.9	0.791977681	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1526	54.8	0.319355239	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1527	75	0.437073776	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1528	56.8	0.331010539	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1529	60.9	0.354903906	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1530	72	0.419590825	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1532	102.2	0.595585865	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1533	80.9	0.471456913	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1534	83.8	0.488357099	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1535	49.2	0.286720397	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1536	38	0.221450713	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1537	154.5	0.900371978	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1538	117.8	0.68649721	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1539	88	0.51283323	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1540	32.2	0.187650341	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
"Wine"	""	"Leon"	"Leon Cantaro"	"Litre"	"New Castile vellon maravedis"	"Silver"	1541	98	0.571109733	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (American Treasure and the Price Revolution in Spain - 1501-1650) (New York: Octagon Books-1965) (Appx I-VI)"
