"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Old Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1654	0.5	12.63695	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Old Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1655	0.573162371	14.53110382	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Old Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1656	0.555475653	14.09211394	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Old Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1657	0.544236585	13.66936268	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Old Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1658	0.558823529	14.12365	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Old Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1659	0.524006359	12.93923181	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Old Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1660	0.576	14.35272744	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Old Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1661	0.444444444	11.14371429	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Old Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1662	0.438356164	11.14371429	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Old Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1663	0.605405405	15.18405561	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Old Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1664	0.417553191	10.78390917	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1665	0.391082997	9.954967869	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1666	0.380952381	9.789447619	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1667	0.388888889	9.993394444	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1668	0.396825397	10.19734127	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1669	0.372354497	9.568505225	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1670	0.349206349	8.973660317	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1671	0.317460317	8.157873016	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1672	0.317460317	8.157873016	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1673	0.277777778	7.104308847	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1674	0.310077519	7.931265432	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1675	0.293623188	7.384784369	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Bark"	"Birchbark"	"Linkoping"	"Linkoping Skeppund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1676	0.293333333	7.537874667	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
