"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Barley"	""	"Linkoping"	"Linkoping Old Grain Tunna"	"Litre"	"Swedish Riksdaler"	"Silver"	1592	0.795555556	20.36280133	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Barley"	""	"Linkoping"	"Linkoping Old Grain Tunna"	"Litre"	"Swedish Riksdaler"	"Silver"	1593	1	25.5957	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Barley"	""	"Linkoping"	"Linkoping Old Grain Tunna"	"Litre"	"Swedish Riksdaler"	"Silver"	1594	1.222222222	31.28363333	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Barley"	""	"Linkoping"	"Linkoping Old Grain Tunna"	"Litre"	"Swedish Riksdaler"	"Silver"	1595	0.777777778	19.90776667	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Barley"	""	"Linkoping"	"Linkoping Old Grain Tunna"	"Litre"	"Swedish Riksdaler"	"Silver"	1596	1.006944444	25.77344792	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Barley"	""	"Linkoping"	"Linkoping Old Grain Tunna"	"Litre"	"Swedish Riksdaler"	"Silver"	1597	1.333333333	34.1276	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Barley"	""	"Linkoping"	"Linkoping Old Grain Tunna"	"Litre"	"Swedish Riksdaler"	"Silver"	1598	1.777777778	45.50346667	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Barley"	""	"Linkoping"	"Linkoping Old Grain Tunna"	"Litre"	"Swedish Riksdaler"	"Silver"	1599	1.227678571	31.42329241	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Barley"	""	"Linkoping"	"Linkoping Old Grain Tunna"	"Litre"	"Swedish Riksdaler"	"Silver"	1600	0.666666667	17.0638	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Barley"	""	"Linkoping"	"Linkoping Old Grain Tunna"	"Litre"	"Swedish Riksdaler"	"Silver"	1601	0.615384615	15.7512	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
