"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Butter"	""	"Linkoping"	"Linkoping Old Lispund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1652	0.425	10.7414075	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Butter"	""	"Linkoping"	"Linkoping Old Lispund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1653	0.385	9.7304515	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Butter"	""	"Linkoping"	"Linkoping Old Lispund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1654	0.3625	9.16178875	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Butter"	""	"Linkoping"	"Linkoping Old Lispund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1655	0.368085926	9.331901538	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Butter"	""	"Linkoping"	"Linkoping Old Lispund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1656	0.394468217	10.00744323	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Butter"	""	"Linkoping"	"Linkoping Old Lispund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1657	0.473183441	11.8847506	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Butter"	""	"Linkoping"	"Linkoping Old Lispund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1658	0.418300654	10.57208889	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Butter"	""	"Linkoping"	"Linkoping Old Lispund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1659	0.376470588	9.296147126	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Butter"	""	"Linkoping"	"Linkoping Old Lispund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1660	0.412177986	10.27062203	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Butter"	""	"Linkoping"	"Linkoping Old Lispund"	"Kilogram"	"Swedish Riksdaler"	"Silver"	1661	0.45106383	11.3096845	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
