"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1650	2.8	70.76692	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1651	2.885714286	72.93325429	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1652	2.76	69.755964	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1653	3.019047619	76.30310762	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1654	2.88375	72.88360913	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1655	3.346235693	84.83546853	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1656	2.75322715	69.84786909	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1657	3.344628274	84.00562952	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1658	3.262745098	82.46229333	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1659	2.428235294	59.96014897	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1660	2.796638655	69.68644507	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1661	2.765079365	69.32982245	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1662	2.779178082	70.65114857	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1663	3.135135135	78.63171658	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1664	2.718974359	70.22140683	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1665	1.951833607	49.68367588	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
"Ox"	""	"Linkoping"	"Unit"	"Unit"	"Swedish Riksdaler"	"Silver"	1666	1.971319102	50.65757837	"(www.iisg.nl)-(G.Hansson)"	"(G. Hansson) (Corn sold from church tithes. Prices in Ostergotland during Sweden's period as a great power) (Umea studies in economic history�34) (2006) (ISBN 91-7264-098-7_ISSN 0347-254-X)"
