"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1752	0.666	0.526272006	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1753	0.88	0.68272132	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1754	0.8	0.604435141	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1756	0.633	0.496258481	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1757	0.733	0.599188227	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1758	0.8	0.602055777	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1759	0.974	0.699684594	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1760	0.8	0.597804721	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1761	0.974	0.682720036	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1763	1.066	0.755336521	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1764	0.93	0.661779732	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1765	1.066	0.758601665	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1766	0.85	0.615644799	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1767	0.533	0.385292106	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1768	0.666	0.478603134	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1769	0.533	0.391669849	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1770	0.4	0.313902889	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1771	0.4	0.297290522	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1773	0.373	0.268469697	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1774	0.433	0.307049797	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1775	0.5	0.3779406	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1776	0.533	0.371625569	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1777	0.666	0.464357652	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1781	3	2.091701136	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1782	1.666	1.161591364	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"Maryland Pound"	"Silver"	1783	0.53	0.369533867	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"United States Dollar"	"Silver"	1792	0.5	0.351672911	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"United States Dollar"	"Silver"	1793	0.4	0.281827297	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"United States Dollar"	"Silver"	1794	0.866	0.611214716	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"United States Dollar"	"Silver"	1795	1.11	0.784784526	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"United States Dollar"	"Silver"	1796	0.916	0.648743726	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"United States Dollar"	"Silver"	1797	0.666	0.472498982	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"United States Dollar"	"Silver"	1799	1.73	1.231591799	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"United States Dollar"	"Silver"	1800	1.11	0.79141964	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
"Salt"	""	"Maryland"	"England British Bushel"	"Litre"	"United States Dollar"	"Silver"	1803	0.7	0.49015575	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005-P.H.Lindert_2006)"	"(Donald R. Adams Jr.) (Prices and Wages in Maryland - 1750-1850) (Journal of Economic History 46-03) (September 1986) (p625-45)"
