"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Cinnamon"	""	"Massachusetts"	"US Ounce"	"Kilogram"	"Massachusetts Pound"	"Silver"	1782	0.08	68.58220586	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Cinnamon"	""	"Massachusetts"	"US Ounce"	"Kilogram"	"Massachusetts Pound"	"Silver"	1783	0.282	240.6886406	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Cinnamon"	""	"Massachusetts"	"US Ounce"	"Kilogram"	"Massachusetts Pound"	"Silver"	1784	0.223	189.490696	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Cinnamon"	""	"Massachusetts"	"US Ounce"	"Kilogram"	"United States Dollar"	"Silver"	1794	0.111	94.38674922	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Cinnamon"	""	"Massachusetts"	"US Ounce"	"Kilogram"	"United States Dollar"	"Silver"	1801	0.083	71.54596936	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Cinnamon"	""	"Massachusetts"	"US Ounce"	"Kilogram"	"United States Dollar"	"Silver"	1802	0.083	70.59847413	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Cinnamon"	""	"Massachusetts"	"US Ounce"	"Kilogram"	"United States Dollar"	"Silver"	1805	0.25	220.4734668	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Cinnamon"	""	"Massachusetts"	"US Ounce"	"Kilogram"	"United States Dollar"	"Silver"	1806	0.25	216.4890065	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Cinnamon"	""	"Massachusetts"	"US Ounce"	"Kilogram"	"United States Dollar"	"Silver"	1807	0.063	54.05899106	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Cinnamon"	""	"Massachusetts"	"US Ounce"	"Kilogram"	"United States Dollar"	"Silver"	1809	0.375	333.8310278	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
