"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wine"	""	"Milan"	"Milan Brenta"	"Litre"	"Milanesi Soldi"	"Silver"	1605	154	0.559931703	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005)"	"(Domenico Sella) (Salari e lavoro nell'edilizia lombarda durante il secolo XVII) (Pavia: 1968)"
"Wine"	""	"Milan"	"Milan Brenta"	"Litre"	"Milanesi Soldi"	"Silver"	1605	150	0.545388022	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005)"	"(Aldo de Maddalena) (Prezzi e Mercedi a Milano dal 1701 al 1860) (Milano: Banca Commerciale Italiana-1974) (p379-82)"
"Wine"	""	"Milan"	"Milan Brenta"	"Litre"	"Milanesi Soldi"	"Silver"	1606	164	0.588763659	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005)"	"(Domenico Sella) (Salari e lavoro nell'edilizia lombarda durante il secolo XVII) (Pavia: 1968)"
"Wine"	""	"Milan"	"Milan Brenta"	"Litre"	"Milanesi Soldi"	"Silver"	1606	158	0.567223525	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005)"	"(Aldo de Maddalena) (Prezzi e Mercedi a Milano dal 1701 al 1860) (Milano: Banca Commerciale Italiana-1974) (p379-82)"
"Wine"	""	"Milan"	"Milan Brenta"	"Litre"	"Milanesi Soldi"	"Silver"	1607	244	0.857010926	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005)"	"(Domenico Sella) (Salari e lavoro nell'edilizia lombarda durante il secolo XVII) (Pavia: 1968)"
"Wine"	""	"Milan"	"Milan Brenta"	"Litre"	"Milanesi Soldi"	"Silver"	1607	192.25	0.675247338	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005)"	"(Aldo de Maddalena) (Prezzi e Mercedi a Milano dal 1701 al 1860) (Milano: Banca Commerciale Italiana-1974) (p379-82)"
"Wine"	""	"Milan"	"Milan Brenta"	"Litre"	"Milanesi Soldi"	"Silver"	1608	307	1.02939205	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005)"	"(Domenico Sella) (Salari e lavoro nell'edilizia lombarda durante il secolo XVII) (Pavia: 1968)"
"Wine"	""	"Milan"	"Milan Brenta"	"Litre"	"Milanesi Soldi"	"Silver"	1608	337.5	1.131660642	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005)"	"(Aldo de Maddalena) (Prezzi e Mercedi a Milano dal 1701 al 1860) (Milano: Banca Commerciale Italiana-1974) (p379-82)"
"Wine"	""	"Milan"	"Milan Brenta"	"Litre"	"Milanesi Soldi"	"Silver"	1609	221	0.806584162	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005)"	"(Domenico Sella) (Salari e lavoro nell'edilizia lombarda durante il secolo XVII) (Pavia: 1968)"
"Wine"	""	"Milan"	"Milan Brenta"	"Litre"	"Milanesi Soldi"	"Silver"	1609	214	0.781036247	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005)"	"(Aldo de Maddalena) (Prezzi e Mercedi a Milano dal 1701 al 1860) (Milano: Banca Commerciale Italiana-1974) (p379-82)"
"Wine"	""	"Milan"	"Milan Brenta"	"Litre"	"Milanesi Soldi"	"Silver"	1610	228	0.82916546	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005)"	"(Domenico Sella) (Salari e lavoro nell'edilizia lombarda durante il secolo XVII) (Pavia: 1968)"
"Wine"	""	"Milan"	"Milan Brenta"	"Litre"	"Milanesi Soldi"	"Silver"	1610	240.45	0.874442258	"(gpih.ucdavis.edu)-(P.A.Levin_2001-L.A.Abad_2005)"	"(Aldo de Maddalena) (Prezzi e Mercedi a Milano dal 1701 al 1860) (Milano: Banca Commerciale Italiana-1974) (p379-82)"
