"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wheat"	""	"Milano"	"Litre"	"Litre"	"Silver"	"Silver"	1703	0.49275	0.49275	"(ECPdb)"	"(Author Unknown) (Movimento dei prezzi di alcuni generi alimentari dal 1862 al 1885) (Rome: 1886) (pXXXV-XXXVII)"
"Wheat"	""	"Milano"	"Litre"	"Litre"	"Silver"	"Silver"	1704	0.4518	0.4518	"(ECPdb)"	"(Author Unknown) (Movimento dei prezzi di alcuni generi alimentari dal 1862 al 1885) (Rome: 1886) (pXXXV-XXXVII)"
"Wheat"	""	"Milano"	"Litre"	"Litre"	"Silver"	"Silver"	1705	0.4437	0.4437	"(ECPdb)"	"(Author Unknown) (Movimento dei prezzi di alcuni generi alimentari dal 1862 al 1885) (Rome: 1886) (pXXXV-XXXVII)"
"Wheat"	""	"Milano"	"Litre"	"Litre"	"Silver"	"Silver"	1706	0.4518	0.4518	"(ECPdb)"	"(Author Unknown) (Movimento dei prezzi di alcuni generi alimentari dal 1862 al 1885) (Rome: 1886) (pXXXV-XXXVII)"
"Wheat"	""	"Milano"	"Litre"	"Litre"	"Silver"	"Silver"	1707	0.5094	0.5094	"(ECPdb)"	"(Author Unknown) (Movimento dei prezzi di alcuni generi alimentari dal 1862 al 1885) (Rome: 1886) (pXXXV-XXXVII)"
"Wheat"	""	"Milano"	"Litre"	"Litre"	"Silver"	"Silver"	1708	0.54225	0.54225	"(ECPdb)"	"(Author Unknown) (Movimento dei prezzi di alcuni generi alimentari dal 1862 al 1885) (Rome: 1886) (pXXXV-XXXVII)"
"Wheat"	""	"Milano"	"Litre"	"Litre"	"Silver"	"Silver"	1709	0.5094	0.5094	"(ECPdb)"	"(Author Unknown) (Movimento dei prezzi di alcuni generi alimentari dal 1862 al 1885) (Rome: 1886) (pXXXV-XXXVII)"
"Wheat"	""	"Milano"	"Litre"	"Litre"	"Silver"	"Silver"	1710	0.49275	0.49275	"(ECPdb)"	"(Author Unknown) (Movimento dei prezzi di alcuni generi alimentari dal 1862 al 1885) (Rome: 1886) (pXXXV-XXXVII)"
"Wheat"	""	"Milano"	"Litre"	"Litre"	"Silver"	"Silver"	1711	0.41085	0.41085	"(ECPdb)"	"(Author Unknown) (Movimento dei prezzi di alcuni generi alimentari dal 1862 al 1885) (Rome: 1886) (pXXXV-XXXVII)"
"Wheat"	""	"Milano"	"Litre"	"Litre"	"Silver"	"Silver"	1712	0.4437	0.4437	"(ECPdb)"	"(Author Unknown) (Movimento dei prezzi di alcuni generi alimentari dal 1862 al 1885) (Rome: 1886) (pXXXV-XXXVII)"
"Wheat"	""	"Milano"	"Litre"	"Litre"	"Silver"	"Silver"	1713	0.5337	0.5337	"(ECPdb)"	"(Author Unknown) (Movimento dei prezzi di alcuni generi alimentari dal 1862 al 1885) (Rome: 1886) (pXXXV-XXXVII)"
"Wheat"	""	"Milano"	"Litre"	"Litre"	"Silver"	"Silver"	1714	0.5094	0.5094	"(ECPdb)"	"(Author Unknown) (Movimento dei prezzi di alcuni generi alimentari dal 1862 al 1885) (Rome: 1886) (pXXXV-XXXVII)"
"Wheat"	""	"Milano"	"Litre"	"Litre"	"Silver"	"Silver"	1715	0.55035	0.55035	"(ECPdb)"	"(Author Unknown) (Movimento dei prezzi di alcuni generi alimentari dal 1862 al 1885) (Rome: 1886) (pXXXV-XXXVII)"
"Wheat"	""	"Milano"	"Litre"	"Litre"	"Silver"	"Silver"	1716	0.5175	0.5175	"(ECPdb)"	"(Author Unknown) (Movimento dei prezzi di alcuni generi alimentari dal 1862 al 1885) (Rome: 1886) (pXXXV-XXXVII)"
