"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1818	0.3175	0.3175	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1819	0.325	0.325	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1820	0.3525	0.3525	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1821	0.31	0.31	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1822	0.315	0.315	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1823	0.31	0.31	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1824	0.33	0.33	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1825	0.37	0.37	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1826	0.39	0.39	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1827	0.36	0.36	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1828	0.365	0.365	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1829	0.37	0.37	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1830	0.41	0.41	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1831	0.43	0.43	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1832	0.4275	0.4275	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1833	0.375	0.375	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
"Charcoal"	""	"Osaka"	"Kyoto Japanies Kan"	"Kilogram"	"Osaka Monme"	"Silver"	1834	0.35	0.35	"(gpih.ucdavis.edu)-(Bassino_2006)"	"(Mitsui Bunko) (Trends of Major Prices in Early Modern Japan) (Tokyo: University of Tokyo Press-1989) (Table 8)"
