"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1548	5.278571429	0.255602138	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1549	3.355	0.162457814	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1550	5.94	0.287630227	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1551	3.583333333	0.173514307	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1552	2.408333333	0.116617755	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1553	3.625	0.175531915	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1554	9.538888889	0.461897775	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1555	8.333333333	0.275128393	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1556	5.145833333	0.169891783	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1557	8.4	0.27732942	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1558	3.85	0.127109318	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1559	5.8	0.191489362	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1560	2.983333333	0.0985	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1561	4.0625	0.134125092	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1562	10.16666667	0.33565664	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1563	2.25	0.0743	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1564	4.56	0.150550257	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1565	4.788888889	0.158107117	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1566	5.058333333	0.167002935	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1567	2.7	0.0891	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1568	2.9375	0.097	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1569	8.783333333	0.289985326	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1570	4.43	0.146258254	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1571	6.06	0.200073368	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1572	5.475	0.180759354	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1573	3.027777778	0.1	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1574	4.945	0.163261189	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Millet"	""	"Pisa"	"Tuscany Sack"	"Litre"	"Pisa Lira"	"Silver"	1575	5.335	0.176137197	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
