"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Oil"	"Olive"	"Pisa"	"Tuscany Barrel"	"Litre"	"Pisa Lira"	"Silver"	1694	21.24166667	2.859427023	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Oil"	"Olive"	"Pisa"	"Tuscany Barrel"	"Litre"	"Pisa Lira"	"Silver"	1695	19.5625	2.633387578	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Oil"	"Olive"	"Pisa"	"Tuscany Barrel"	"Litre"	"Pisa Lira"	"Silver"	1696	21.33333333	2.871766645	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Oil"	"Olive"	"Pisa"	"Tuscany Barrel"	"Litre"	"Pisa Lira"	"Silver"	1697	22.61666667	3.044521357	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Oil"	"Olive"	"Pisa"	"Tuscany Barrel"	"Litre"	"Pisa Lira"	"Silver"	1698	22.64583333	3.048447601	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Oil"	"Olive"	"Pisa"	"Tuscany Barrel"	"Litre"	"Pisa Lira"	"Silver"	1699	23.52083333	3.166234905	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Oil"	"Olive"	"Pisa"	"Tuscany Barrel"	"Litre"	"Pisa Lira"	"Silver"	1700	30.83333333	4.150600229	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Oil"	"Olive"	"Pisa"	"Tuscany Barrel"	"Litre"	"Pisa Lira"	"Silver"	1701	25.04166667	3.370960456	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Oil"	"Olive"	"Pisa"	"Tuscany Barrel"	"Litre"	"Pisa Lira"	"Silver"	1702	22.3125	3.003576247	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
"Oil"	"Olive"	"Pisa"	"Tuscany Barrel"	"Litre"	"Pisa Lira"	"Silver"	1703	21.0625	2.83530867	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-L.A.Abad_2008)"	"(T.P. Meng-S.D. Gamble) (Prices Wages and the Standard of Living in Peking 1900-1924) (Peking: Chinese Social and Political Science Association-1926)"
