"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1769	441	0.717966469	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1770	425	0.691917799	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1771	490	0.797740521	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1772	571	0.929611913	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1773	623	1.014270091	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1774	569	0.926355829	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1775	548	0.89216695	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1776	427	0.695173882	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1777	427	0.695173882	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1778	425	0.691917799	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1779	391	0.636564375	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1780	415	0.67563738	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1781	447	0.72773472	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1782	449	0.730990804	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1783	518	0.843325693	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1784	512	0.833557442	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1785	467	0.760295557	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1786	441	0.717966469	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1787	459	0.747271222	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1788	512	0.833557442	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1789	819	1.333366299	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1790	692	1.12660498	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1791	512	0.833557442	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1792	518	0.843325693	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1793	526	0.856350028	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1794	449	0.730990804	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1795	1060	1.725724392	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1796	898	1.461981607	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1797	528	0.859606112	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1798	471	0.766807725	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1799	668	1.087531975	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1800	819	1.333366299	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1801	945	1.538499576	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1802	987	1.606877334	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1803	655	1.066367431	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1804	668	1.087531975	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1805	983	1.600365167	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1806	655	1.066367431	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1807	633	1.030550509	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1808	564	0.91821562	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1809	532	0.86611828	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1810	661	1.076135682	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1811	678	1.103812394	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1812	981	1.597109083	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1813	837	1.362671053	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1814	589	0.958916667	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1815	578	0.941008206	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1816	785	1.200556965	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1817	1252	1.914773656	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1818	851	1.301495512	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1819	583	0.891623835	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1820	526	0.804449635	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1821	494	0.755509733	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1822	419	0.640806839	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1823	389	0.594925681	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1824	316	0.48328153	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
"Wheat"	""	"Rotterdam"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1825	336	0.513868968	"(ECPdb)"	"(Government of the United Kingdom) (House of Commons Parliamentary Papers 1826-27 Vol. XVI) (p170)"
