"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Barley"	""	"San Francisco"	"England British Short Hundredweight"	"Kilogram"	"United States Dollar"	"Silver"	1848	2.7	1.509546836	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Barley"	""	"San Francisco"	"England British Short Hundredweight"	"Kilogram"	"United States Dollar"	"Silver"	1849	8.58	4.774686255	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Barley"	""	"San Francisco"	"England British Short Hundredweight"	"Kilogram"	"United States Dollar"	"Silver"	1850	6.1	3.378870216	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Barley"	""	"San Francisco"	"England British Short Hundredweight"	"Kilogram"	"United States Dollar"	"Silver"	1851	5.71	3.115058815	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Barley"	""	"San Francisco"	"England British Short Hundredweight"	"Kilogram"	"United States Dollar"	"Silver"	1852	4.54	2.495265795	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Barley"	""	"San Francisco"	"England British Short Hundredweight"	"Kilogram"	"United States Dollar"	"Silver"	1853	2.46	1.332165828	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Barley"	""	"San Francisco"	"England British Short Hundredweight"	"Kilogram"	"United States Dollar"	"Silver"	1854	1.74	0.942263635	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Barley"	""	"San Francisco"	"England British Short Hundredweight"	"Kilogram"	"United States Dollar"	"Silver"	1855	1.73	0.9437919	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Barley"	""	"San Francisco"	"England British Short Hundredweight"	"Kilogram"	"United States Dollar"	"Silver"	1856	2.73	1.489336351	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Barley"	""	"San Francisco"	"England British Short Hundredweight"	"Kilogram"	"United States Dollar"	"Silver"	1857	1.96	1.061400416	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Barley"	""	"San Francisco"	"England British Short Hundredweight"	"Kilogram"	"United States Dollar"	"Silver"	1858	1.27	0.692841453	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Barley"	""	"San Francisco"	"England British Short Hundredweight"	"Kilogram"	"United States Dollar"	"Silver"	1859	1.47	0.790236461	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Barley"	""	"San Francisco"	"England British Short Hundredweight"	"Kilogram"	"United States Dollar"	"Silver"	1860	1.78	0.963924868	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
"Barley"	""	"San Francisco"	"England British Short Hundredweight"	"Kilogram"	"United States Dollar"	"Silver"	1861	0.99	0.544121836	"(gpih.ucdavis.edu)"	"(Carroll D. Wright) (Historical Review of Wages and Prices 1752-1860)-(Ruth Crandall) (Wholesale Commodity Prices in Boston during the Eighteenth Century)-(William I. Davisson) (Essex County Price Trends: Money and Markets in 17th Century)"
