"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Barley"	""	"Southern England"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1261	39.5	0.0643	"(ECPdb)"	"(James E. Thorold Rogers) (A History of Agriculture and Prices in England) (Oxford: Clarendon Press) (vol I:p226-35-vol IV:p282-91-vol V:p268-75)"
"Barley"	""	"Southern England"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1262	38	0.0619	"(ECPdb)"	"(James E. Thorold Rogers) (A History of Agriculture and Prices in England) (Oxford: Clarendon Press) (vol I:p226-35-vol IV:p282-91-vol V:p268-75)"
"Barley"	""	"Southern England"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1263	42.75	0.06959879	"(ECPdb)"	"(James E. Thorold Rogers) (A History of Agriculture and Prices in England) (Oxford: Clarendon Press) (vol I:p226-35-vol IV:p282-91-vol V:p268-75)"
"Barley"	""	"Southern England"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1264	48	0.0781	"(ECPdb)"	"(James E. Thorold Rogers) (A History of Agriculture and Prices in England) (Oxford: Clarendon Press) (vol I:p226-35-vol IV:p282-91-vol V:p268-75)"
"Barley"	""	"Southern England"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1266	48	0.0781	"(ECPdb)"	"(James E. Thorold Rogers) (A History of Agriculture and Prices in England) (Oxford: Clarendon Press) (vol I:p226-35-vol IV:p282-91-vol V:p268-75)"
"Barley"	""	"Southern England"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1267	29.75	0.0484	"(ECPdb)"	"(James E. Thorold Rogers) (A History of Agriculture and Prices in England) (Oxford: Clarendon Press) (vol I:p226-35-vol IV:p282-91-vol V:p268-75)"
"Barley"	""	"Southern England"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1268	42.75	0.06959879	"(ECPdb)"	"(James E. Thorold Rogers) (A History of Agriculture and Prices in England) (Oxford: Clarendon Press) (vol I:p226-35-vol IV:p282-91-vol V:p268-75)"
"Barley"	""	"Southern England"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1269	37	0.0602	"(ECPdb)"	"(James E. Thorold Rogers) (A History of Agriculture and Prices in England) (Oxford: Clarendon Press) (vol I:p226-35-vol IV:p282-91-vol V:p268-75)"
"Barley"	""	"Southern England"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1270	48.5	0.079	"(ECPdb)"	"(James E. Thorold Rogers) (A History of Agriculture and Prices in England) (Oxford: Clarendon Press) (vol I:p226-35-vol IV:p282-91-vol V:p268-75)"
"Barley"	""	"Southern England"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1271	61.5	0.100124576	"(ECPdb)"	"(James E. Thorold Rogers) (A History of Agriculture and Prices in England) (Oxford: Clarendon Press) (vol I:p226-35-vol IV:p282-91-vol V:p268-75)"
"Barley"	""	"Southern England"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1272	55	0.0895	"(ECPdb)"	"(James E. Thorold Rogers) (A History of Agriculture and Prices in England) (Oxford: Clarendon Press) (vol I:p226-35-vol IV:p282-91-vol V:p268-75)"
"Barley"	""	"Southern England"	"England Grain Quarter"	"Litre"	"English Pence"	"Silver"	1273	48.5	0.079	"(ECPdb)"	"(James E. Thorold Rogers) (A History of Agriculture and Prices in England) (Oxford: Clarendon Press) (vol I:p226-35-vol IV:p282-91-vol V:p268-75)"
