"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1887	3.89	0.000923	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1888	3.89	0.000853	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1889	3.93	0.000877	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1890	5.05	0.00138	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1891	5.48	0.001356396	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1892	5.37	0.00103	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1893	5.31	0.000792	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1894	5.32	0.000571	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1895	5.3	0.00055	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1896	6.11	0.000672	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1897	7.89	0.000769	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1898	8.31	0.000757	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1899	7.31	0.000684	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1900	7.76	0.000738	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1901	6.97	0.00064	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1902	7.08	0.00058	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1903	9.32	0.000785	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1904	9.41	0.000835	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1905	10.1	0.000955	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1906	8.5640553	0.000896	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1907	10.0162212	0.00103	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
"Wheat"	""	"Tokyo"	"Kyoto Wheat Kuku"	"Kilogram"	"United States Dollar"	"Silver"	1908	9.504239631	0.000786	"(gpih.ucdavis.edu)-(D.S.Jacks_2006-P.A.Lindert_2006-Puente_2006)"	"(Government of Japan) (Financial and Economic Annual of Japan) (TOKYO: DEPT. OF FINANCE GPO) (various years)"
