"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1501	26.57	0.370571827	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1502	24.53	0.342119944	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1503	20.95	0.292189679	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1504	18.91	0.263737796	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1505	50.08	0.69846583	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1506	24.02	0.335006974	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1507	12.78	0.178242678	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1508	23	0.320781032	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1509	17.37	0.242259414	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1510	10.73	0.149651325	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1511	11.24	0.156764296	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1512	17.96	0.250488145	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1513	18	0.251046025	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1514	15.75	0.219665272	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1515	13.95	0.194560669	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1516	19.8	0.276150628	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1517	19.35	0.269874477	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1518	15.53	0.216596932	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1519	17.06	0.237935844	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1520	20.21	0.281868898	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1521	21.35	0.29776848	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1522	17.24	0.240446304	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1523	17.24	0.240446304	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1524	17.45	0.243375174	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1525	18.47	0.257601116	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
"Wheat"	""	"Valence"	"Valence Setier"	"Litre"	"Silver"	"Silver"	1526	16.01	0.223291492	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p437-46)"
