"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencia pence"	"Silver"	1413	98	0.503692	"(ECPdb)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Philadelphia: Porcupine Press-1975) (p215-21)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencian Penny"	"Silver"	1413	98	0.503692355	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Cambridge: Harvard University Press -1936) (Appx III-V)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencia pence"	"Silver"	1414	70.2	0.360808197	"(ECPdb)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Philadelphia: Porcupine Press-1975) (p215-21)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencian Penny"	"Silver"	1414	70.2	0.360808197	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Cambridge: Harvard University Press -1936) (Appx III-V)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencia pence"	"Silver"	1417	51	0.262125613	"(ECPdb)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Philadelphia: Porcupine Press-1975) (p215-21)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencian Penny"	"Silver"	1417	51	0.262125613	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Cambridge: Harvard University Press -1936) (Appx III-V)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencia pence"	"Silver"	1420	67.9	0.348986846	"(ECPdb)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Philadelphia: Porcupine Press-1975) (p215-21)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencian Penny"	"Silver"	1420	67.9	0.348986846	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Cambridge: Harvard University Press -1936) (Appx III-V)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencia pence"	"Silver"	1421	87.1	0.44766943	"(ECPdb)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Philadelphia: Porcupine Press-1975) (p215-21)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencian Penny"	"Silver"	1421	87.1	0.44766943	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Cambridge: Harvard University Press -1936) (Appx III-V)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencia pence"	"Silver"	1422	76.6	0.393702392	"(ECPdb)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Philadelphia: Porcupine Press-1975) (p215-21)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencian Penny"	"Silver"	1422	76.6	0.393702392	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Cambridge: Harvard University Press -1936) (Appx III-V)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencia pence"	"Silver"	1423	67.3	0.345903015	"(ECPdb)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Philadelphia: Porcupine Press-1975) (p215-21)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencian Penny"	"Silver"	1423	67.3	0.345903015	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Cambridge: Harvard University Press -1936) (Appx III-V)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencia pence"	"Silver"	1424	69.8	0.35875231	"(ECPdb)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Philadelphia: Porcupine Press-1975) (p215-21)"
"Wheat"	""	"Valencia"	"Castile Fanega"	"Litre"	"Valencian Penny"	"Silver"	1424	69.8	0.35875231	"(gpih.ucdavis.edu)-(L.A.Abad_2005)"	"(Earl J. Hamilton) (Money Prices and Wages in Valencia Aragon and Navarre-1351-1500) (Cambridge: Harvard University Press -1936) (Appx III-V)"
