"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wheat"	""	"Valladolid"	"Valladolid Carga"	"Litre"	"Valladolid Maravedi"	"Silver"	1499	250	0.100106496	"(gpih.ucdavis.edu)-(D.S.Jacks_2001-L.A.Abad_2005)"	"(B. Bennassar) (Valladolid au Siecle d'or: une ville de Castile et sa campagne au XVIe siecle) (Paris: Mouton & Co-1967)"
"Wheat"	""	"Valladolid"	"Valladolid Carga"	"Litre"	"Valladolid Maravedi"	"Silver"	1500	300	0.120127796	"(gpih.ucdavis.edu)-(D.S.Jacks_2001-L.A.Abad_2005)"	"(B. Bennassar) (Valladolid au Siecle d'or: une ville de Castile et sa campagne au XVIe siecle) (Paris: Mouton & Co-1967)"
"Wheat"	""	"Valladolid"	"Valladolid Carga"	"Litre"	"Valladolid Maravedi"	"Silver"	1502	446	0.178589989	"(gpih.ucdavis.edu)-(D.S.Jacks_2001-L.A.Abad_2005)"	"(B. Bennassar) (Valladolid au Siecle d'or: une ville de Castile et sa campagne au XVIe siecle) (Paris: Mouton & Co-1967)"
"Wheat"	""	"Valladolid"	"Valladolid Carga"	"Litre"	"Valladolid Maravedi"	"Silver"	1503	460	0.184195953	"(gpih.ucdavis.edu)-(D.S.Jacks_2001-L.A.Abad_2005)"	"(B. Bennassar) (Valladolid au Siecle d'or: une ville de Castile et sa campagne au XVIe siecle) (Paris: Mouton & Co-1967)"
"Wheat"	""	"Valladolid"	"Valladolid Carga"	"Litre"	"Valladolid Maravedi"	"Silver"	1504	440	0.176187433	"(gpih.ucdavis.edu)-(D.S.Jacks_2001-L.A.Abad_2005)"	"(B. Bennassar) (Valladolid au Siecle d'or: une ville de Castile et sa campagne au XVIe siecle) (Paris: Mouton & Co-1967)"
"Wheat"	""	"Valladolid"	"Valladolid Carga"	"Litre"	"Valladolid Maravedi"	"Silver"	1506	1230	0.492523962	"(gpih.ucdavis.edu)-(D.S.Jacks_2001-L.A.Abad_2005)"	"(B. Bennassar) (Valladolid au Siecle d'or: une ville de Castile et sa campagne au XVIe siecle) (Paris: Mouton & Co-1967)"
"Wheat"	""	"Valladolid"	"Valladolid Carga"	"Litre"	"Valladolid Maravedi"	"Silver"	1510	306	0.122530351	"(gpih.ucdavis.edu)-(D.S.Jacks_2001-L.A.Abad_2005)"	"(B. Bennassar) (Valladolid au Siecle d'or: une ville de Castile et sa campagne au XVIe siecle) (Paris: Mouton & Co-1967)"
"Wheat"	""	"Valladolid"	"Valladolid Carga"	"Litre"	"Valladolid Maravedi"	"Silver"	1512	323	0.129337593	"(gpih.ucdavis.edu)-(D.S.Jacks_2001-L.A.Abad_2005)"	"(B. Bennassar) (Valladolid au Siecle d'or: une ville de Castile et sa campagne au XVIe siecle) (Paris: Mouton & Co-1967)"
"Wheat"	""	"Valladolid"	"Valladolid Carga"	"Litre"	"Valladolid Maravedi"	"Silver"	1525	396	0.15856869	"(gpih.ucdavis.edu)-(D.S.Jacks_2001-L.A.Abad_2005)"	"(B. Bennassar) (Valladolid au Siecle d'or: une ville de Castile et sa campagne au XVIe siecle) (Paris: Mouton & Co-1967)"
"Wheat"	""	"Valladolid"	"Valladolid Carga"	"Litre"	"Valladolid Maravedi"	"Silver"	1526	376	0.15056017	"(gpih.ucdavis.edu)-(D.S.Jacks_2001-L.A.Abad_2005)"	"(B. Bennassar) (Valladolid au Siecle d'or: une ville de Castile et sa campagne au XVIe siecle) (Paris: Mouton & Co-1967)"
