"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Tax"	"Real estate"	"Vermont"	"US Acre"	"Square Metre"	"US Penny"	"Silver"	1800	0.6	0.150750469	"(gpih.ucdavis.edu)-(D.Nystrom_2005-L.A.Abad_2008)"	"(T.M. Adams) (Vermont Agricultural Experiment Station Bulletin 507 Supplement) (Vermont: Feb 1944)"
"Tax"	"Real estate"	"Vermont"	"US Acre"	"Square Metre"	"US Penny"	"Silver"	1801	0.5	0.123939384	"(gpih.ucdavis.edu)-(D.Nystrom_2005-L.A.Abad_2008)"	"(T.M. Adams) (Vermont Agricultural Experiment Station Bulletin 507 Supplement) (Vermont: Feb 1944)"
"Tax"	"Real estate"	"Vermont"	"US Acre"	"Square Metre"	"US Penny"	"Silver"	1802	1.7	0.415813317	"(gpih.ucdavis.edu)-(D.Nystrom_2005-L.A.Abad_2008)"	"(T.M. Adams) (Vermont Agricultural Experiment Station Bulletin 507 Supplement) (Vermont: Feb 1944)"
"Tax"	"Real estate"	"Vermont"	"US Acre"	"Square Metre"	"US Penny"	"Silver"	1803	1.5	0.37012711	"(gpih.ucdavis.edu)-(D.Nystrom_2005-L.A.Abad_2008)"	"(T.M. Adams) (Vermont Agricultural Experiment Station Bulletin 507 Supplement) (Vermont: Feb 1944)"
"Tax"	"Real estate"	"Vermont"	"US Acre"	"Square Metre"	"US Penny"	"Silver"	1804	0.7	0.172725985	"(gpih.ucdavis.edu)-(D.Nystrom_2005-L.A.Abad_2008)"	"(T.M. Adams) (Vermont Agricultural Experiment Station Bulletin 507 Supplement) (Vermont: Feb 1944)"
"Tax"	"Real estate"	"Vermont"	"US Acre"	"Square Metre"	"US Penny"	"Silver"	1805	0.6	0.152159763	"(gpih.ucdavis.edu)-(D.Nystrom_2005-L.A.Abad_2008)"	"(T.M. Adams) (Vermont Agricultural Experiment Station Bulletin 507 Supplement) (Vermont: Feb 1944)"
"Tax"	"Real estate"	"Vermont"	"US Acre"	"Square Metre"	"US Penny"	"Silver"	1806	0.7	0.174311536	"(gpih.ucdavis.edu)-(D.Nystrom_2005-L.A.Abad_2008)"	"(T.M. Adams) (Vermont Agricultural Experiment Station Bulletin 507 Supplement) (Vermont: Feb 1944)"
"Tax"	"Real estate"	"Vermont"	"US Acre"	"Square Metre"	"US Penny"	"Silver"	1807	1.6	0.394802251	"(gpih.ucdavis.edu)-(D.Nystrom_2005-L.A.Abad_2008)"	"(T.M. Adams) (Vermont Agricultural Experiment Station Bulletin 507 Supplement) (Vermont: Feb 1944)"
"Tax"	"Real estate"	"Vermont"	"US Acre"	"Square Metre"	"US Penny"	"Silver"	1808	0.6	0.154278101	"(gpih.ucdavis.edu)-(D.Nystrom_2005-L.A.Abad_2008)"	"(T.M. Adams) (Vermont Agricultural Experiment Station Bulletin 507 Supplement) (Vermont: Feb 1944)"
"Tax"	"Real estate"	"Vermont"	"US Acre"	"Square Metre"	"US Penny"	"Silver"	1809	0.8	0.204794208	"(gpih.ucdavis.edu)-(D.Nystrom_2005-L.A.Abad_2008)"	"(T.M. Adams) (Vermont Agricultural Experiment Station Bulletin 507 Supplement) (Vermont: Feb 1944)"
"Tax"	"Real estate"	"Vermont"	"US Acre"	"Square Metre"	"US Penny"	"Silver"	1810	1.1	0.278959566	"(gpih.ucdavis.edu)-(D.Nystrom_2005-L.A.Abad_2008)"	"(T.M. Adams) (Vermont Agricultural Experiment Station Bulletin 507 Supplement) (Vermont: Feb 1944)"
"Tax"	"Real estate"	"Vermont"	"US Acre"	"Square Metre"	"US Penny"	"Silver"	1811	1	0.24901648	"(gpih.ucdavis.edu)-(D.Nystrom_2005-L.A.Abad_2008)"	"(T.M. Adams) (Vermont Agricultural Experiment Station Bulletin 507 Supplement) (Vermont: Feb 1944)"
"Tax"	"Real estate"	"Vermont"	"US Acre"	"Square Metre"	"US Penny"	"Silver"	1812	2	0.516709196	"(gpih.ucdavis.edu)-(D.Nystrom_2005-L.A.Abad_2008)"	"(T.M. Adams) (Vermont Agricultural Experiment Station Bulletin 507 Supplement) (Vermont: Feb 1944)"
"Tax"	"Real estate"	"Vermont"	"US Acre"	"Square Metre"	"US Penny"	"Silver"	1813	1.3	0.33909041	"(gpih.ucdavis.edu)-(D.Nystrom_2005-L.A.Abad_2008)"	"(T.M. Adams) (Vermont Agricultural Experiment Station Bulletin 507 Supplement) (Vermont: Feb 1944)"
