"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1501	13.03	0.410781841	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1502	8.94	0.28184111	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1503	7.41	0.233606557	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1504	8.18	0.257881463	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1505	22.48	0.708701135	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1506	5.62	0.177175284	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1507	3.44	0.108448928	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1508	7.15	0.225409836	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1509	5.37	0.169293821	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1510	3.54	0.111601513	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1511	3.44	0.108448928	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1512	7.05	0.222257251	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1513	6.98	0.220050441	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1514	4.83	0.152269861	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1515	4.05	0.127679697	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1516	7.87	0.248108449	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1517	6.98	0.220050441	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1518	5.18	0.163303909	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1519	5.16	0.162673392	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1520	7.41	0.233606557	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
"Rye"	""	"Vienne"	"Vienne Bichet"	"Litre"	"Silver"	"Silver"	1521	8.62	0.271752837	"(ECPdb)"	"(Henri Hauser) (Recherches et documents sur l'histoire des prix en France do 1500 a 1800) (Paris: 1936-Slatkine Reprints 1985) (p449-55)"
