"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Flour"	""	"Wallachia"	"Wallachia Kile"	"Litre"	"Wallachian Leu"	"Gold"	1775	225	7.79265333	"(www.sfu.ca)-(D.S. Jacks)"	"(M.N. Popa) (La Circulation Monetaire et L'Evolution des Prix en Valachie) (Bucarest: Association Internationale d'etudes du Sud-Est Europeen-1978)"
"Flour"	""	"Wallachia"	"Wallachia Kile"	"Litre"	"Wallachian Leu"	"Gold"	1776	225	8.140246682	"(www.sfu.ca)-(D.S. Jacks)"	"(M.N. Popa) (La Circulation Monetaire et L'Evolution des Prix en Valachie) (Bucarest: Association Internationale d'etudes du Sud-Est Europeen-1978)"
"Flour"	""	"Wallachia"	"Wallachia Kile"	"Litre"	"Wallachian Leu"	"Gold"	1783	15	0.542683112	"(www.sfu.ca)-(D.S. Jacks)"	"(M.N. Popa) (La Circulation Monetaire et L'Evolution des Prix en Valachie) (Bucarest: Association Internationale d'etudes du Sud-Est Europeen-1978)"
"Flour"	""	"Wallachia"	"Wallachia Kile"	"Litre"	"Wallachian Leu"	"Gold"	1783	4.5	0.162804934	"(www.sfu.ca)-(D.S. Jacks)"	"(M.N. Popa) (La Circulation Monetaire et L'Evolution des Prix en Valachie) (Bucarest: Association Internationale d'etudes du Sud-Est Europeen-1978)"
"Flour"	""	"Wallachia"	"Wallachia Kile"	"Litre"	"Wallachian Leu"	"Gold"	1785	4.5	0.180894371	"(www.sfu.ca)-(D.S. Jacks)"	"(M.N. Popa) (La Circulation Monetaire et L'Evolution des Prix en Valachie) (Bucarest: Association Internationale d'etudes du Sud-Est Europeen-1978)"
"Flour"	""	"Wallachia"	"Wallachia Kile"	"Litre"	"Wallachian Leu"	"Gold"	1793	36	1.808943707	"(www.sfu.ca)-(D.S. Jacks)"	"(M.N. Popa) (La Circulation Monetaire et L'Evolution des Prix en Valachie) (Bucarest: Association Internationale d'etudes du Sud-Est Europeen-1978)"
"Flour"	""	"Wallachia"	"Wallachia Kile"	"Litre"	"Wallachian Leu"	"Gold"	1794	45	2.369886029	"(www.sfu.ca)-(D.S. Jacks)"	"(M.N. Popa) (La Circulation Monetaire et L'Evolution des Prix en Valachie) (Bucarest: Association Internationale d'etudes du Sud-Est Europeen-1978)"
"Flour"	""	"Wallachia"	"Wallachia Kile"	"Litre"	"Wallachian Leu"	"Gold"	1803	13.5	0.848834321	"(www.sfu.ca)-(D.S. Jacks)"	"(M.N. Popa) (La Circulation Monetaire et L'Evolution des Prix en Valachie) (Bucarest: Association Internationale d'etudes du Sud-Est Europeen-1978)"
"Flour"	""	"Wallachia"	"Wallachia Kile"	"Litre"	"Wallachian Leu"	"Gold"	1804	27	1.736585959	"(www.sfu.ca)-(D.S. Jacks)"	"(M.N. Popa) (La Circulation Monetaire et L'Evolution des Prix en Valachie) (Bucarest: Association Internationale d'etudes du Sud-Est Europeen-1978)"
"Flour"	""	"Wallachia"	"Wallachia Kile"	"Litre"	"Wallachian Leu"	"Gold"	1805	18.5	1.189882972	"(www.sfu.ca)-(D.S. Jacks)"	"(M.N. Popa) (La Circulation Monetaire et L'Evolution des Prix en Valachie) (Bucarest: Association Internationale d'etudes du Sud-Est Europeen-1978)"
"Flour"	""	"Wallachia"	"Wallachia Kile"	"Litre"	"Wallachian Leu"	"Gold"	1809	126	10.13008476	"(www.sfu.ca)-(D.S. Jacks)"	"(M.N. Popa) (La Circulation Monetaire et L'Evolution des Prix en Valachie) (Bucarest: Association Internationale d'etudes du Sud-Est Europeen-1978)"
