"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1526	6.48	0.0514	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1527	6.34	0.0503	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1528	6.16	0.0489	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1529	6.16	0.0489	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1530	6.16	0.0489	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1531	6.16	0.0489	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1545	11.55	0.0917	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1549	12.58	0.0998	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1550	7.7	0.0611	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1554	10.47	0.0831	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1555	9.28	0.0737	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1556	9.24	0.0733	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1563	6.93	0.055	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1564	14.63	0.116111111	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1565	10.01	0.0794	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1566	18.09	0.143571429	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1570	26.4	0.20952381	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1571	23.1	0.183333333	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1581	25.91	0.205634921	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1583	24.29	0.192777778	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1584	26.2	0.207936508	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1585	24.19	0.191984127	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1618	24.3	0.192857143	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1619	26.73	0.212142857	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1659	36.45	0.289285714	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1693	16.94	0.134444444	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1698	42.71	0.338968254	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1699	37.51	0.297698413	"(ECPdb)"	"(W. Adamczyk) (Ceny w Warszawie w XVI - XVII wieku) (Lwow: 1938)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1701	37.51	0.297698413	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1702	30.4	0.241269841	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1703	27	0.214285714	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1704	30	0.238095238	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1707	20.37	0.161666667	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1709	28.66	0.227460317	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1711	32.4	0.257142857	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1715	72.72	0.577142857	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1718	30.3	0.24047619	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1721	28.03	0.222460317	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1723	34.34	0.272539683	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1725	39.39	0.312619048	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1726	49.99	0.396746032	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1727	62.11	0.492936508	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
"Wheat"	""	"Warsaw"	"Warsaw Korzec"	"Litre"	"Silver"	"Silver"	1730	44.44	0.352698413	"(ECPdb)"	"(Stanislaw Siegel) (Ceny w Warszawie w latch 1701-1815-Vol. 1) (Lwow: 1936)"
