"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1627	97.5	0.459113924	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1628	133	0.629712911	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1629	98.7	0.467313266	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1630	100.7	0.476782633	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1632	97.5	0.461631646	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1633	75	0.355101266	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1634	97.5	0.461631646	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1635	142.5	0.671012658	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1636	129.7	0.604172152	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1637	135	0.628860759	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1638	111.9	0.521255696	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1639	82.5	0.384303797	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1640	97.5	0.454177215	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1641	97.5	0.454177215	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1642	97.5	0.454177215	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1644	95.7	0.445792405	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1645	81	0.377316456	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1646	135	0.628860759	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1647	114	0.531037975	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1648	165.7	0.771868354	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1649	98.8	0.460232911	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1650	195.8	0.902398414	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1651	105.8	0.48760854	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1652	100.2	0.461799392	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1653	92.4	0.425850937	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1654	91.7	0.422624793	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
"Wheat"	""	"Weyer"	"Vienna Old Metzen"	"Litre"	"South German Kreuzer"	"Silver"	1655	91.5	0.421703038	"(ECPdb)"	"(A.F. Pribram) (Materialien zur geshichte der preise und lohne in Osterreich) (Vienna: Carl Ueberreuters Verlag-1938) (vol 1:p528-31)"
