"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1700	57	0.750538148	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1701	50	0.658366796	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1702	43	0.566195445	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1703	63	0.829542163	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1704	52	0.684701468	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1705	42	0.553028109	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1706	39	0.513526101	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1707	46	0.605697452	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1708	78	1.027052202	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1709	138	1.817092357	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1710	96	1.264064249	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1711	87	1.145558225	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1712	57	0.750538148	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1713	96	1.264064249	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1714	58	0.763705484	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1715	75	0.987550194	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1716	72	0.948048186	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1717	69	0.908546179	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
"Wheat"	""	"Windsor"	"Winchester Bushel"	"Litre"	"English Pence"	"Silver"	1718	54	0.71103614	"(ECPdb)"	"(TS Ashton) (Economic Fluctuation in England 1700-1800) (Oxford: Clarendon Press-1959) (p181-2)"
