"Commodity"	"Variety"	"Market"	"Original Measure"	"Standard Measure"	"Original Currency"	"Standard Currency"	"Year"	"Original Value"	"Standardized Value"	"Notes"	"Sources"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1818	0.124832548	0.652993954	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1819	0.167176629	0.874494106	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1820	0.132806434	0.694705021	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1821	0.12868201	0.673130331	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1822	0.134181241	0.701896585	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1823	0.090187392	0.471766557	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1824	0.115208894	0.60265301	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1825	0.135831011	0.710526461	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1826	0.101460816	0.530737377	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1827	0.151778781	0.793948596	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1828	0.273861714	1.432559423	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1829	0.178725014	0.934903238	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1830	0.085	0.444438616	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1831	0.0797	0.417110675	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1832	0.0885	0.463136681	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1833	0.0729	0.381152859	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1834	0.0943	0.493341247	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1835	0.156453128	0.818399911	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1836	0.161127474	0.842851227	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1837	0.124007664	0.648679016	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1838	0.0973	0.509162687	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1839	0.242241135	1.267153466	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1840	0.163052205	0.852919416	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1841	0.091	0.476081495	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1842	0.146554512	0.766620655	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1843	0.104210431	0.545120503	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1844	0.0421	0.220061839	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1845	0.076439314	0.399850923	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1846	0.123457741	0.645802391	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1847	0.0572	0.299169036	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1848	0.041	0.214308588	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1849	0.103385547	0.540805565	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
"Maize"	""	"Wollongong"	"Litre"	"Litre"	"English Shilling"	"Silver"	1850	0.109159739	0.571010132	"(gpih.ucdavis.edu)-(D.S.Jacks_2002-L.A.Abad_2005)"	"(V. Magalhaes Godinho) (Prix et Monnaies au Portugal 1750-1850) (Paris: Librairie Armand Colin-1955)"
